title,artist,url,location,date,ntracks,genres
IDIOM,EDGEY,https://edgey.bandcamp.com/album/idiom?from=footer-nn-a348143381,"New York, New York",2020-12-18,4,"['electronic', 'glitch', 'idm', 'breakcore', 'darkstep', 'gabber', 'noise']"
Cosmic Creator,Electric Specter 電妖怪,https://plus100.bandcamp.com/album/cosmic-creator?from=footer-ar-a1349949022,"Atlanta, Georgia",2017-12-01,20,[]
Vacant Places,Hantasi,https://hantasi.bandcamp.com/album/vacant-places?from=footer-ar-a1349949022,California,2012-09-6,10,"['experimental', 'easylistening', 'mallsoft', 'vaporwave']"
CLASSROOM SEXXTAPE,death's dynamic shroud,https://deathsdynamicshroud.bandcamp.com/album/classroom-sexxtape?from=footer-ar-a1349949022,"Philadelphia, Pennsylvania",2016-05-13,10,"['experimental', 'amberalert', 'bravenewamerica', 'experimental', 'internet', 'nuwrld', 'plunderphonics', 'teen', 'vaporwave', 'videogame']"
Flavored,Pop Up!,https://music.businesscasual.biz/album/flavored?from=footer-cc-a1349949022,,2016-04-22,11,"['electronic', 'nudisco', 'chillwave', 'futurefunk', 'plunderphonics', 'vaporwave']"
Obviate,Darksleep,https://music.businesscasual.biz/album/obviate?from=footer-cc-a1349949022,,2015-05-22,10,"['electronic', 'nudisco', 'chillwave', 'futurefunk', 'plunderphonics', 'vaporwave']"
BAE 2,YUNG BAE,https://mypetflamingo.bandcamp.com/album/bae-2?from=footer-nn-a1349949022,"Wales, UK",2019-03-8,12,"['electronic', 'futurefunk', 'postvaporwave', 'vaporwave']"
.​.​.​BECAUSE I'M YOUNG ARROGANT AND HATE EVERYTHING YOU STAND FOR,Machine Girl,https://orangemilkrecords.bandcamp.com/album/because-im-young-arrogant-and-hate-everything-you-stand-for?from=footer-cc-a1660348365,,2017-09-22,14,"['experimental', 'internet', 'other']"
Machine Girl - WLFGRL,Dred Collective,https://dredcollective.bandcamp.com/album/machine-girl-wlfgrl?from=footer-cc-a1660348365,"London, UK",2014-02-16,13,"['electronic', 'bass', 'electronic', 'footwork', 'garage', 'grime', 'hardcore', 'juke', 'jungle', 'rave']"
Draining Love Story,Sewerslvt,https://sewerslvt.com/album/draining-love-story?from=footer-cc-a1660348365,"Adelaide, Australia",2020-01-25,10,"['drum&bass', 'electronic', 'experimental', 'ambient', 'atmosphericdrum&bass', 'breakcore', 'depressivebreakcore', 'jungle', 'rave', 'vaporwave']"
Focus 10 EP,Coleco,https://runtimerecords.bandcamp.com/album/focus-10-ep?from=footer-bcw-a1660348365,"Bristol, UK",2013-12-9,4,"['160', 'drum&bass', 'drumstep', 'electronic', 'bass', 'bassmusic', 'breakbeat', 'drumandbass', 'dubstep', 'footwork', 'juke', 'jungle', 'slowfast']"
